M, N, Name, Result, Time
2, 45, Li的FPTAS, 1.000787, 0.013087
2, 45, Li的FPTAS, 1.000000, 0.012925
2, 45, Li的FPTAS, 1.001300, 0.009314
2, 45, Li的FPTAS, 1.000403, 0.004501
2, 45, Li的FPTAS, 1.001581, 0.006075
2, 45, Li的FPTAS, 1.000450, 0.001272
2, 45, Li的FPTAS, 1.000820, 0.006225
2, 45, Li的FPTAS, 1.000892, 0.004855
2, 45, Li的FPTAS, 1.000438, 0.008401
2, 45, Li的FPTAS, 1.000407, 0.004808
2, 50, Li的FPTAS, 1.000375, 0.004419
2, 50, Li的FPTAS, 1.000770, 0.005294
2, 50, Li的FPTAS, 1.000000, 0.007008
2, 50, Li的FPTAS, 1.000402, 0.010878
2, 50, Li的FPTAS, 1.000000, 0.011874
2, 50, Li的FPTAS, 1.000399, 0.014224
2, 50, Li的FPTAS, 1.001080, 0.017274
2, 50, Li的FPTAS, 1.000436, 0.018423
2, 50, Li的FPTAS, 1.000399, 0.013834
2, 50, Li的FPTAS, 1.000696, 0.014337
2, 55, Li的FPTAS, 1.000340, 0.011693
2, 55, Li的FPTAS, 1.000365, 0.018209
2, 55, Li的FPTAS, 1.000740, 0.008550
2, 55, Li的FPTAS, 1.000000, 0.018513
2, 55, Li的FPTAS, 1.000378, 0.030348
2, 55, Li的FPTAS, 1.000414, 0.014185
2, 55, Li的FPTAS, 1.001346, 0.017220
2, 55, Li的FPTAS, 1.000000, 0.026650
2, 55, Li的FPTAS, 1.000332, 0.015399
2, 55, Li的FPTAS, 1.000000, 0.015472
2, 60, Li的FPTAS, 1.000000, 0.011391
2, 60, Li的FPTAS, 1.000333, 0.011382
2, 60, Li的FPTAS, 1.000618, 0.022453
2, 60, Li的FPTAS, 1.001143, 0.019788
2, 60, Li的FPTAS, 1.000617, 0.037085
2, 60, Li的FPTAS, 1.000881, 0.019723
2, 60, Li的FPTAS, 1.000325, 0.035091
2, 60, Li的FPTAS, 1.000327, 0.047877
2, 60, Li的FPTAS, 1.000901, 0.017929
2, 60, Li的FPTAS, 1.000646, 0.019345
2, 65, Li的FPTAS, 1.000298, 0.031242
2, 65, Li的FPTAS, 1.000875, 0.017799
2, 65, Li的FPTAS, 1.000595, 0.025127
2, 65, Li的FPTAS, 1.000588, 0.021865
2, 65, Li的FPTAS, 1.000286, 0.015408
2, 65, Li的FPTAS, 1.000585, 0.021784
2, 65, Li的FPTAS, 1.000950, 0.018047
2, 65, Li的FPTAS, 1.000576, 0.017450
2, 65, Li的FPTAS, 1.001344, 0.015755
2, 65, Li的FPTAS, 1.000000, 0.024364
